Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,Completado,Observaciones,Fecha Programada,imagen_observacion
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Verificar presencia de ruido extraño,"0,05",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Verificar estado del motor,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Verificarar nivel de aceite,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Verificar presencia de fuga de aceite,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Revisar soportes,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Revisar estado de tornilleria,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Revisar estado junta flexible,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Revisar estado de cableado,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Revisar estado de las correas,"0,05",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965533,SOPLADOR FILTRO AGUA RECUPEADA,13344921,Inspección semanal soplado filt agua rec,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,05",,,,,,,,,,,
