Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",599561,INSPECTOR ELECTRONICO,13347904,INSPECCION SEMANAL OPERACION DEL INSPECT,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"8/5/2024, 11:18:40","0,3333333333",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",828996,PROCESADOR DE BEBIDA,13347660,INSPECCION SEMANAL PROCESADOR DE BEBIDA,FUGAS DE AIRE/ ACEITE/ AMONIACO,si,CUMPLE,"8/5/2024, 11:18:46","0,3333333333",si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",828996,PROCESADOR DE BEBIDA,13347660,INSPECCION SEMANAL PROCESADOR DE BEBIDA,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"8/5/2024, 11:18:49","0,3333333333",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",828996,PROCESADOR DE BEBIDA,13347660,INSPECCION SEMANAL PROCESADOR DE BEBIDA,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"8/5/2024, 11:18:51","0,3333333333",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",820030,TANDEM DE PALETIZADO,13347672,INSPECCION SEMANAL OPERACION TANDEM,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"21/5/2024, 11:07:02","0,3333333333",si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",820030,TANDEM DE PALETIZADO,13347672,INSPECCION SEMANAL OPERACION TANDEM,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"21/5/2024, 11:11:17","0,3333333333",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",820030,TANDEM DE PALETIZADO,13347672,INSPECCION SEMANAL OPERACION TANDEM,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"21/5/2024, 11:11:24","0,3333333333",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,810003,CALENTADOR DE LATAS,13347681,INSPECCION SEMANAL CALENADOR DE LATAS,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"7/5/2024, 1:53:08","0,3333333333",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,810003,CALENTADOR DE LATAS,13347681,INSPECCION SEMANAL CALENADOR DE LATAS,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"7/5/2024, 1:53:19","0,3333333333",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,810003,CALENTADOR DE LATAS,13347681,INSPECCION SEMANAL CALENADOR DE LATAS,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"7/5/2024, 1:53:24","0,3333333333",si,si,si,si,si,.,.,CUMPLE
